Year,KWH,SWH,HWH,MWH,FWH,BES,HAS,HOS,RIS,SBA,SBB,SHO,DEO,PEL,PES,REO,DEL,FLA,LRD,SSK,MES,GRH,MAC,HAD,SAI,RED,BWH,SSH,NCO,PCO,CAP,PWN,CEP,KCR,SCR,ZG,ZL,ZM,ZS,DF,PS,PL,BC,BD,BFF,SPO,COR,PB,BB,DR,DL,DC
1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123211.4252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203130.0235,0,0,0,0,0,30713.06656,0,1697295.339,80906.18745,70528.44018,0,0,1231651.912,0,70294.85082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176934.6371,0,0,0,0,0,28252.63415,0,1379681.607,75694.8937,62382.50473,0,0,979021.9556,0,2115525.122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153832.2443,0,0,0,0,0,25960.91326,0,1153668.24,70687.57068,56578.6102,0,0,821228.6379,0,2394984.624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135425.1656,0,0,0,0,0,23638.35007,0,982295.509,65456.22819,50200.8951,0,0,709404.4569,0,801852.3531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122236.2527,0,0,0,0,0,21534.84495,0,853765.0358,59620.71247,47699.13395,0,0,667493.4938,0,151111.6556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111067.2569,0,0,0,0,0,19840.03764,0,769511.2414,55273.58484,41835.65176,0,0,647960.5569,0,383905.1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102894.661,0,0,0,0,0,18427.46777,0,708903.2314,50844.26967,38104.03819,0,0,626320.6195,0,367490.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94234.51362,0,0,0,0,0,17124.98653,0,659696.3731,46996.11694,34188.56981,0,0,607962.7928,0,124153.6372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96146.2864,0,0,0,0,0,16275.0025,0,625907.4339,43514.40799,34016.52069,0,0,592224.3151,0,117224.9692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
